topic,cluster_id,cluster_words,party,estimate,std_error,is_baseline
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",FDI,0.5649449442186927,0.3636861941887986,TRUE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",FI,0.0903519549760993,0.38201541013806095,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",PD,0.20958174630189508,0.35988258129238815,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",LEU,0.05013333519007017,0.43027590388080234,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",M5S,0.18018553407320745,0.44759818557938863,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",AVS,0.2843993218192021,0.39307508569200733,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",LEGA,0.41942231294429605,0.5115857032804405,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",+EUROPA,NA,NA,FALSE
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist",IV,0.1740956664382178,0.4416236101151994,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",FDI,0.2592566051502875,0.3474445387455328,TRUE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",FI,0.6886084072540823,0.3626613340356862,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",PD,0.22860321441141837,0.3339158938663336,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",LEU,0.755983044168299,0.4116211699060954,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",M5S,0.3036918323110605,0.38837444263580484,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",AVS,-0.08047646873833833,0.3482329300708975,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",LEGA,-0.09568102655020441,0.3936698017679781,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",+EUROPA,NA,NA,FALSE
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part",IV,0.12569262680046409,0.3944287357393978,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",FDI,-0.8264589248331552,0.37859057308783234,TRUE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",FI,-0.7783230817437371,0.40281848660214326,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",PD,-0.4440444377424334,0.37440687532187444,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",LEU,-0.8090283346170833,0.45645111823311457,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",M5S,-0.4810737153355398,0.45077628709129886,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",AVS,-0.19374256811514734,0.39854035857072656,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",LEGA,-0.33181175447254013,0.5157194335951089,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",+EUROPA,NA,NA,FALSE
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp",IV,-0.3007644667284114,0.4495654920751338,FALSE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",FI,-0.11170019603867681,0.2810796252999626,TRUE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",PD,-0.028368941114778598,0.08705130157555023,FALSE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",AVS,NA,NA,FALSE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",LEGA,-0.3079107921708137,0.14181490276166392,FALSE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",FDI,-0.3879295734770143,0.12922432523449354,FALSE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",IV,-0.03425405943775389,0.19172731427353398,FALSE
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat",M5S,-0.3484133297278304,0.10096272343617944,FALSE
